,ID,Delivery_person_ID,Delivery_person_Age,Delivery_person_Ratings,Restaurant_latitude,Restaurant_longitude,Delivery_location_latitude,Delivery_location_longitude,Order_Date,Time_Orderd,Time_Order_picked,Weather_conditions,Road_traffic_density,Vehicle_condition,Type_of_order,Type_of_vehicle,multiple_deliveries,Festival,City,Time_taken (min)
21963,0x3088,CHENRES14DEL03,24.0,5.0,13.026279,80.174568,13.056279,80.204568,01-03-2022,18:10,18:20,Sunny,Medium,1,Snack,motorcycle,1.0,No,Metropolitian,16
10410,0x61d3,COIMBRES11DEL03,35.0,4.3,11.001753,76.986241,11.061753,77.046241,26-03-2022,23:20,23:30,Sandstorms,Low,0,Meal,motorcycle,1.0,No,Metropolitian,27
38301,0x1c3d,SURRES20DEL01,38.0,4.1,21.15276,72.778059,21.22276,72.848059,02-03-2022,18:10,18:15,Sandstorms,Medium,0,Buffet,motorcycle,0.0,No,Metropolitian,36
44997,0xc3f6,KOCRES18DEL02,27.0,4.9,9.957144,76.296783,10.087144,76.426783,14-02-2022,0.75,18:15,Windy,Medium,1,Snack,scooter,1.0,No,Metropolitian,22
16861,0x795a,COIMBRES16DEL03,20.0,4.7,11.010375,76.95295,11.100375,77.04295,02-03-2022,19:55,0.833333333,Cloudy,Jam,0,Buffet,motorcycle,0.0,Yes,,42
7720,0x9f6f,MUMRES16DEL03,37.0,4.9,19.120083,72.907385,19.180083,72.967385,13-03-2022,20:40,20:45,Cloudy,Jam,2,Buffet,scooter,1.0,No,Metropolitian,29
22162,0x339a,SURRES14DEL03,22.0,5.0,21.157729,72.768726,21.247729,72.858726,29-03-2022,22:50,0.958333333,Sandstorms,Low,1,Drinks,motorcycle,1.0,No,Metropolitian,12
13431,0xbf7a,KNPRES17DEL03,,,26.483042,80.317833,26.543042,80.377833,17-02-2022,,22:55,,,3,Meal,electric_scooter,1.0,No,Metropolitian,27
28737,0xda6a,DEHRES20DEL01,38.0,3.7,0.0,0.0,0.11,0.11,12-02-2022,20:20,20:35,Sandstorms,Jam,2,Drinks,electric_scooter,3.0,No,Metropolitian,44
41391,0xbef9,KNPRES03DEL02,,,26.469003,80.316344,26.489003,80.336344,11-02-2022,,10:55,,,3,Snack,electric_scooter,1.0,No,Metropolitian,31
13705,0xa808,INDORES16DEL03,34.0,4.4,22.744648,75.894377,22.834648,75.984377,16-03-2022,20:30,20:45,Stormy,Jam,0,Buffet,motorcycle,1.0,No,Metropolitian,51
41447,0x96b0,INDORES05DEL03,35.0,5.0,22.727021,75.884167,22.787021,75.944167,03-04-2022,20:55,21:05,Fog,Jam,1,Drinks,scooter,1.0,No,Metropolitian,37
27512,0xc9c0,AURGRES04DEL02,29.0,4.4,19.876106,75.340775,19.956106,75.420775,18-02-2022,21:45,0.916666667,Cloudy,Jam,2,Buffet,scooter,1.0,No,,36
44248,0x9edb,MYSRES12DEL02,20.0,4.8,12.284747,76.625861,12.304747,76.645861,03-04-2022,10:35,10:45,Windy,Low,2,Snack,motorcycle,1.0,No,Metropolitian,15
7755,0x2e0c,BANGRES20DEL03,26.0,4.6,12.972161,77.596014,13.032161,77.656014,26-03-2022,17:50,18:05,Stormy,Medium,2,Drinks,scooter,1.0,No,Metropolitian,23
25267,0x7899,BANGRES09DEL02,37.0,4.7,12.934179,77.615797,13.064179,77.745797,12-03-2022,17:40,17:45,Stormy,Medium,1,Meal,motorcycle,1.0,No,Metropolitian,26
39689,0x46bc,MUMRES15DEL03,30.0,4.9,19.176269,72.836721,19.266269,72.926721,23-03-2022,0.916666667,22:10,Cloudy,Jam,0,Snack,motorcycle,1.0,Yes,Metropolitian,53
15031,0xa016,MUMRES15DEL02,37.0,4.9,19.176269,72.836721,19.306269,72.966721,06-04-2022,1,24:10:00,Sandstorms,Low,2,Drinks,electric_scooter,1.0,No,Metropolitian,19
10307,0x367f,COIMBRES07DEL02,23.0,5.0,10.96185,76.971082,11.01185,77.021082,26-03-2022,22:35,22:45,Sunny,Low,2,Meal,scooter,1.0,No,Urban,24
39568,0x5244,PUNERES03DEL01,22.0,4.7,18.554382,73.798206,18.664382,73.908206,02-03-2022,20:25,20:40,Sandstorms,Jam,2,Drinks,scooter,1.0,No,Metropolitian,26
42595,0x5b30,RANCHIRES19DEL03,38.0,5.0,23.333017,85.3172,23.393017,85.3772,26-03-2022,20:20,20:30,Cloudy,Jam,2,Meal,motorcycle,1.0,No,Metropolitian,29
21105,0x595f,PUNERES09DEL01,29.0,4.9,18.536562,73.896485,18.546562,73.906485,26-03-2022,11:30,11:40,Windy,High,2,Snack,electric_scooter,1.0,No,Urban,13
22739,0x187f,HYDRES09DEL01,20.0,4.9,17.431668,78.408321,17.541668,78.518321,25-03-2022,20:30,20:45,Fog,Jam,0,Buffet,motorcycle,1.0,No,Metropolitian,40
37144,0x4955,COIMBRES010DEL02,30.0,4.8,11.003008,76.97544,11.053009,77.02544,28-03-2022,22:20,22:30,Stormy,Low,2,Meal,scooter,1.0,No,Metropolitian,26
32367,0x36b1,PUNERES04DEL02,24.0,4.7,18.51421,73.838429,18.64421,73.968429,02-04-2022,0.916666667,22:05,Stormy,Jam,1,Meal,scooter,0.0,No,Urban,28
44899,0x3503,COIMBRES01DEL02,28.0,4.8,11.016298,76.972076,11.096298,77.052076,29-03-2022,21:40,21:55,Sunny,Jam,0,Snack,motorcycle,1.0,No,Urban,26
2408,0xe047,BHPRES07DEL01,39.0,4.9,0.0,0.0,0.07,0.07,12-02-2022,19:20,19:35,Windy,Jam,0,Snack,motorcycle,0.0,Yes,Semi-Urban,50
38238,0xc916,LUDHRES09DEL03,29.0,4.8,30.885814,75.786976,30.975814,75.876976,14-02-2022,23:30,23:45,Stormy,Low,0,Buffet,motorcycle,1.0,No,Metropolitian,20
342,0x12e7,INDORES07DEL03,33.0,3.9,22.722634,75.886959,22.812634,75.976959,08-03-2022,17:25,17:30,Windy,Medium,2,Meal,electric_scooter,1.0,No,Metropolitian,32
37322,0x2a82,BANGRES03DEL03,35.0,3.6,12.979166,77.640709,13.069166,77.730709,27-03-2022,19:50,0.833333333,Sunny,Jam,2,Buffet,electric_scooter,1.0,No,Metropolitian,32
21967,0x68d3,CHENRES05DEL01,28.0,4.5,13.058616,80.264151,13.168616,80.374151,02-04-2022,23:55,24:10:00,Windy,Low,0,Buffet,motorcycle,1.0,No,Urban,19
13832,0xce3a,LUDHRES02DEL02,30.0,4.4,0.0,0.0,0.13,0.13,16-02-2022,19:20,19:25,Fog,Jam,2,Snack,scooter,2.0,No,Metropolitian,40
38034,0x716,MUMRES14DEL03,,,19.1813,72.836191,19.2713,72.926191,16-03-2022,,20:40,Sunny,Jam,1,Drinks,motorcycle,0.0,No,Metropolitian,28
14916,0xc920,ALHRES13DEL01,35.0,4.6,25.451646,81.832796,25.561646,81.942796,12-02-2022,17:50,0.75,Windy,Medium,0,Snack,motorcycle,,No,Metropolitian,31
7685,0xc4f1,LUDHRES02DEL01,25.0,5.0,0.0,0.0,0.11,0.11,14-02-2022,0.833333333,20:05,Sandstorms,Jam,2,Buffet,scooter,0.0,No,Metropolitian,25
20194,0x556,INDORES05DEL03,,,22.727021,75.884167,22.817021,75.974167,23-03-2022,,20:30,,,3,Meal,scooter,0.0,No,Metropolitian,37
13458,0x79a0,SURRES08DEL03,26.0,4.7,21.173343,72.792731,21.233343,72.852731,15-03-2022,19:45,19:55,Windy,Jam,2,Meal,electric_scooter,1.0,No,Metropolitian,26
40412,0x67df,SURRES04DEL01,37.0,4.9,21.173493,72.801953,21.283493,72.911953,04-04-2022,23:25,23:30,Sunny,Low,2,Buffet,electric_scooter,1.0,No,Metropolitian,25
25461,0x471e,MUMRES12DEL01,32.0,4.8,19.207222,72.972281,19.247222,73.012281,07-03-2022,14:30,14:35,Sandstorms,High,1,Snack,scooter,1.0,No,Metropolitian,25
7665,0x2b1f,BANGRES01DEL01,37.0,4.9,12.933284,77.615428,12.973284,77.655428,26-03-2022,12:40,12:45,Sunny,High,1,Snack,scooter,1.0,No,Metropolitian,19
36516,0x17a3,SURRES05DEL02,32.0,4.1,21.175104,72.804342,21.305104,72.934342,14-03-2022,19:20,19:30,Fog,Jam,1,Snack,motorcycle,3.0,No,Metropolitian,44
33886,0x432a,VADRES03DEL02,20.0,4.7,22.32,73.17,22.34,73.19,11-03-2022,11:40,11:50,Sunny,High,1,Drinks,motorcycle,0.0,No,Urban,16
27558,0xdda5,LUDHRES12DEL02,28.0,4.8,30.893244,75.821817,30.973244,75.901817,14-02-2022,23:50,1,Windy,Low,1,Buffet,motorcycle,0.0,,Metropolitian,11
9595,0xb3ac,HYDRES15DEL02,37.0,4.8,17.45971,78.368855,17.50971,78.418855,09-03-2022,20:40,20:55,Windy,Jam,2,Snack,electric_scooter,1.0,No,Metropolitian,28
37624,0x9fb7,INDORES07DEL02,30.0,4.7,22.722634,75.886959,22.802634,75.966959,25-03-2022,22:30,22:35,Stormy,Low,1,Meal,scooter,1.0,No,Metropolitian,18
9722,0xa206,COIMBRES06DEL02,34.0,4.7,11.021278,76.995017,11.101278,77.075017,04-03-2022,21:35,21:40,Sunny,Jam,2,Meal,scooter,1.0,No,Urban,19
33581,0x9583,HYDRES06DEL01,20.0,5.0,17.455894,78.375467,17.495894,78.415467,26-03-2022,16:40,16:45,Fog,Medium,1,Snack,motorcycle,1.0,No,Metropolitian,14
42416,0x5256,INDORES18DEL02,22.0,4.7,22.753839,75.897429,22.803839,75.947429,11-03-2022,22:40,22:55,Cloudy,Low,0,Buffet,motorcycle,1.0,No,Urban,19
22362,0x494d,RANCHIRES06DEL01,39.0,4.1,23.357804,85.325146,23.397804,85.365146,03-03-2022,13:20,13:30,Cloudy,High,1,Buffet,scooter,1.0,No,Metropolitian,33
32554,0xbbef,PUNERES19DEL03,26.0,4.8,18.563934,73.915367,18.653934,74.005367,27-03-2022,0.875,21:15,Windy,Jam,2,Buffet,scooter,1.0,No,Metropolitian,24
43306,0x54c6,CHENRES16DEL03,31.0,4.8,13.049645,80.242268,13.139645,80.332268,04-03-2022,17:15,17:25,Sandstorms,Medium,0,Snack,motorcycle,0.0,No,Metropolitian,44
9693,0x86f5,MUMRES08DEL02,35.0,4.5,19.065838,72.832658,19.115838,72.882658,17-03-2022,18:15,18:25,Sunny,Medium,0,Drinks,motorcycle,0.0,No,Metropolitian,28
8467,0x66be,RANCHIRES13DEL01,22.0,4.7,23.374989,85.335486,23.414989,85.375486,28-03-2022,14:35,14:50,Sandstorms,High,1,Meal,motorcycle,0.0,No,Urban,19
40278,0xd05e,DEHRES16DEL01,38.0,4.8,30.342509,78.061187,30.382509,78.101187,13-02-2022,13:30,13:35,Sunny,High,2,Drinks,scooter,0.0,No,Metropolitian,19
22825,0x5216,JAPRES05DEL03,22.0,2.8,26.905287,75.794592,26.995287,75.884592,25-03-2022,22:10,22:25,Sunny,Low,2,Snack,electric_scooter,1.0,No,Metropolitian,37
15460,0xdc34,AGRRES18DEL03,24.0,4.8,27.161694,78.034714,27.191694,78.064714,17-02-2022,18:55,0.791666667,Cloudy,Medium,1,Buffet,scooter,1.0,No,Metropolitian,13
5860,0xc326,GOARES17DEL02,30.0,4.3,15.496162,73.825364,15.576162,73.905364,16-02-2022,21:15,21:30,Sandstorms,Jam,0,Snack,motorcycle,1.0,No,Metropolitian,35
22802,0x9886,JAPRES18DEL01,36.0,4.4,26.913987,75.752891,26.983987,75.822891,29-03-2022,17:40,17:55,Cloudy,Medium,2,Meal,scooter,1.0,No,Metropolitian,42
16266,0xba93,COIMBRES15DEL02,38.0,4.6,11.006686,76.951736,11.136686,77.081736,10-03-2022,0.75,18:10,Cloudy,Medium,0,Drinks,motorcycle,3.0,No,Metropolitian,46
30494,0x5d4c,INDORES18DEL01,34.0,5.0,22.753839,75.897429,22.863838,76.007429,04-04-2022,23:15,23:30,Stormy,Low,2,Buffet,motorcycle,1.0,No,Metropolitian,20
45124,0xddb4,DEHRES07DEL02,24.0,4.7,30.362686,78.06889,30.412686,78.11889,17-02-2022,17:40,17:45,Sunny,Medium,1,Drinks,scooter,1.0,No,Urban,12
24387,0x3205,SURRES01DEL03,21.0,5.0,21.186438,72.794115,21.276438,72.884115,06-04-2022,19:10,19:20,Sunny,Jam,1,Meal,motorcycle,1.0,No,Urban,19
10059,0x5488,COIMBRES08DEL03,33.0,4.9,11.001852,76.976268,11.091852,77.066268,25-03-2022,22:10,22:20,Sandstorms,Low,1,Buffet,motorcycle,1.0,No,Urban,24
8975,0xc4b8,KOCRES01DEL01,30.0,4.8,9.979363,76.285001,10.019363,76.325001,11-02-2022,16:10,16:15,Fog,Medium,0,Snack,motorcycle,1.0,No,Urban,27
3106,0xcf35,KOLRES18DEL01,22.0,4.7,22.569367,88.433187,22.609367,88.473187,13-02-2022,15:35,15:50,Windy,Medium,2,Drinks,motorcycle,1.0,No,Urban,27
2676,0x3756,INDORES02DEL01,20.0,4.7,22.651847,75.881991,22.691847,75.921991,11-03-2022,0.666666667,16:10,Fog,Medium,2,Snack,electric_scooter,0.0,No,Urban,10
38074,0xcab,MUMRES06DEL03,25.0,4.7,19.055831,72.833984,19.145831,72.923984,02-03-2022,20:20,20:35,Sunny,Jam,2,Snack,motorcycle,0.0,No,Metropolitian,10
11444,0xd53e,AURGRES11DEL02,25.0,4.9,0.0,0.0,0.05,0.05,15-02-2022,22:35,22:50,Cloudy,Low,2,Snack,scooter,0.0,No,Urban,12
20024,0x6878,COIMBRES16DEL01,34.0,4.7,11.010375,76.95295,11.120375,77.06295,16-03-2022,20:50,21:05,Stormy,Jam,0,Drinks,motorcycle,2.0,No,Metropolitian,41
