Unnamed: 0,Delivery_person_Age,Delivery_person_Ratings,Weather_conditions,Road_traffic_density,Vehicle_condition,Type_of_order,Type_of_vehicle,multiple_deliveries,Festival,City,Time_taken (min),distance
21963,24.0,5.0,Sunny,Medium,1,Snack,motorcycle,1.0,No,Metropolitian,16,4.657159781886475
10410,35.0,4.3,Sandstorms,Low,0,Meal,motorcycle,1.0,No,Metropolitian,27,9.348433429696803
38301,38.0,4.1,Sandstorms,Medium,0,Buffet,motorcycle,0.0,No,Metropolitian,36,10.642185461889508
44997,27.0,4.9,Windy,Medium,1,Snack,scooter,1.0,No,Metropolitian,22,20.2875618822922
16861,20.0,4.7,Cloudy,Jam,0,Buffet,motorcycle,0.0,Yes,,42,14.02209608257701
7720,37.0,4.9,Cloudy,Jam,2,Buffet,scooter,1.0,No,Metropolitian,29,9.177855596110662
22162,22.0,5.0,Sandstorms,Low,1,Drinks,motorcycle,1.0,No,Metropolitian,12,13.682164847789554
13431,,,,,3,Meal,electric_scooter,1.0,No,Metropolitian,27,8.952822746360196
28737,38.0,3.7,Sandstorms,Jam,2,Drinks,electric_scooter,3.0,No,Metropolitian,44,17.297865752893937
41391,,,,,3,Snack,electric_scooter,1.0,No,Metropolitian,31,2.9846674426296116
13705,34.0,4.4,Stormy,Jam,0,Buffet,motorcycle,1.0,No,Metropolitian,51,13.611585111828559
41447,35.0,5.0,Fog,Jam,1,Drinks,scooter,1.0,No,Metropolitian,37,9.075387359302276
27512,29.0,4.4,Cloudy,Jam,2,Buffet,scooter,1.0,No,,36,12.209868225895356
44248,20.0,4.8,Windy,Low,2,Snack,motorcycle,1.0,No,Metropolitian,15,3.1092107402763944
7755,26.0,4.6,Stormy,Medium,2,Drinks,scooter,1.0,No,Metropolitian,23,9.31503559372121
25267,37.0,4.7,Stormy,Medium,1,Meal,motorcycle,1.0,No,Metropolitian,26,20.182693224614507
39689,30.0,4.9,Cloudy,Jam,0,Snack,motorcycle,1.0,Yes,Metropolitian,53,13.763977224483765
15031,37.0,4.9,Sandstorms,Low,2,Drinks,electric_scooter,1.0,No,Metropolitian,19,19.880157869978767
10307,23.0,5.0,Sunny,Low,2,Meal,scooter,1.0,No,Urban,24,7.7909441384951865
39568,22.0,4.7,Sandstorms,Jam,2,Drinks,scooter,1.0,No,Metropolitian,26,16.851738065938477
42595,38.0,5.0,Cloudy,Jam,2,Meal,motorcycle,1.0,No,Metropolitian,29,9.056672984232305
21105,29.0,4.9,Windy,High,2,Snack,electric_scooter,1.0,No,Urban,13,1.5322647868634527
22739,20.0,4.9,Fog,Jam,0,Buffet,motorcycle,1.0,No,Metropolitian,40,16.902901527472448
37144,30.0,4.8,Stormy,Low,2,Meal,scooter,1.0,No,Metropolitian,26,7.790489304916118
32367,24.0,4.7,Stormy,Jam,1,Meal,scooter,0.0,No,Urban,28,19.917359352869003
44899,28.0,4.8,Sunny,Jam,0,Snack,motorcycle,1.0,No,Urban,26,12.464066309561852
2408,39.0,4.9,Windy,Jam,0,Snack,motorcycle,0.0,Yes,Semi-Urban,50,11.007734763545226
38238,29.0,4.8,Stormy,Low,0,Buffet,motorcycle,1.0,No,Metropolitian,20,13.184918189815095
342,33.0,3.9,Windy,Medium,2,Meal,electric_scooter,1.0,No,Metropolitian,32,13.612594236983208
37322,35.0,3.6,Sunny,Jam,2,Buffet,electric_scooter,1.0,No,Metropolitian,32,13.971948960232016
21967,28.0,4.5,Windy,Low,0,Buffet,motorcycle,1.0,No,Urban,19,17.073813050988182
13832,30.0,4.4,Fog,Jam,2,Snack,scooter,2.0,No,Metropolitian,40,20.442929762531403
38034,,,Sunny,Jam,1,Drinks,motorcycle,0.0,No,Metropolitian,28,13.763778585007291
14916,35.0,4.6,Windy,Medium,0,Snack,motorcycle,,No,Metropolitian,31,16.476481315354967
7685,25.0,5.0,Sandstorms,Jam,2,Buffet,scooter,0.0,No,Metropolitian,25,17.297865752893937
20194,,,,,3,Meal,scooter,0.0,No,Metropolitian,37,13.612393202875259
13458,26.0,4.7,Windy,Jam,2,Meal,electric_scooter,1.0,No,Metropolitian,26,9.121425981664203
40412,37.0,4.9,Sunny,Low,2,Buffet,electric_scooter,1.0,No,Metropolitian,25,16.721288103899063
25461,32.0,4.8,Sandstorms,High,1,Snack,scooter,1.0,No,Metropolitian,25,6.117219095512411
7665,37.0,4.9,Sunny,High,1,Snack,scooter,1.0,No,Metropolitian,19,6.210618493070031
36516,32.0,4.1,Fog,Jam,1,Snack,motorcycle,3.0,No,Metropolitian,44,19.760798007032676
33886,20.0,4.7,Sunny,High,1,Drinks,motorcycle,0.0,No,Urban,16,3.02944056107288
27558,28.0,4.8,Windy,Low,1,Buffet,motorcycle,0.0,,Metropolitian,11,11.71980127031202
9595,37.0,4.8,Windy,Jam,2,Snack,electric_scooter,1.0,No,Metropolitian,28,7.683177078410288
37624,30.0,4.7,Stormy,Low,1,Meal,scooter,1.0,No,Metropolitian,18,12.100287597780959
9722,34.0,4.7,Sunny,Jam,2,Meal,scooter,1.0,No,Urban,19,12.46396242676217
33581,20.0,5.0,Fog,Medium,1,Snack,motorcycle,1.0,No,Metropolitian,14,6.146683594422381
42416,22.0,4.7,Cloudy,Low,0,Buffet,motorcycle,1.0,No,Urban,19,7.562267471587871
22362,39.0,4.1,Cloudy,High,1,Buffet,scooter,1.0,No,Metropolitian,33,6.037474189774952
32554,26.0,4.8,Windy,Jam,2,Buffet,scooter,1.0,No,Metropolitian,24,13.787803344558727
43306,31.0,4.8,Sandstorms,Medium,0,Snack,motorcycle,0.0,No,Metropolitian,44,13.970007989630956
9693,35.0,4.5,Sunny,Medium,0,Drinks,motorcycle,0.0,No,Metropolitian,28,7.64950631838354
8467,22.0,4.7,Sandstorms,High,1,Meal,motorcycle,0.0,No,Urban,19,6.037116126684456
40278,38.0,4.8,Sunny,High,2,Drinks,scooter,0.0,No,Metropolitian,19,5.8746303285596175
22825,22.0,2.8,Sunny,Low,2,Snack,electric_scooter,1.0,No,Metropolitian,37,13.406350345933939
15460,24.0,4.8,Cloudy,Medium,1,Buffet,scooter,1.0,No,Metropolitian,13,4.4647953174860575
5860,30.0,4.3,Sandstorms,Jam,0,Snack,motorcycle,1.0,No,Metropolitian,35,12.3525760402391
22802,36.0,4.4,Cloudy,Medium,2,Meal,scooter,1.0,No,Metropolitian,42,10.42721501021827
16266,38.0,4.6,Cloudy,Medium,0,Drinks,motorcycle,3.0,No,Metropolitian,46,20.253584375811304
30494,34.0,5.0,Stormy,Low,2,Buffet,motorcycle,1.0,No,Metropolitian,20,16.635223376912617
45124,24.0,4.7,Sunny,Medium,1,Drinks,scooter,1.0,No,Urban,12,7.342480856113623
24387,21.0,5.0,Sunny,Jam,1,Meal,motorcycle,1.0,No,Urban,19,13.680927409365763
10059,33.0,4.9,Sandstorms,Low,1,Buffet,motorcycle,1.0,No,Urban,24,14.022295961692818
8975,30.0,4.8,Fog,Medium,0,Snack,motorcycle,1.0,No,Urban,27,6.242543106350919
3106,22.0,4.7,Windy,Medium,2,Drinks,motorcycle,1.0,No,Urban,27,6.053660476378026
2676,20.0,4.7,Fog,Medium,2,Snack,electric_scooter,0.0,No,Urban,10,6.051989448461392
38074,25.0,4.7,Sunny,Jam,2,Snack,motorcycle,0.0,No,Metropolitian,10,13.768718508442738
11444,25.0,4.9,Cloudy,Low,2,Snack,scooter,0.0,No,Urban,12,7.862668167467362
20024,34.0,4.7,Stormy,Jam,0,Drinks,motorcycle,2.0,No,Metropolitian,41,17.137830077695
31288,21.0,4.7,Sandstorms,Low,0,Meal,motorcycle,1.0,No,Metropolitian,20,11.007734763545226
39262,21.0,4.8,Windy,Jam,2,Meal,electric_scooter,0.0,No,Urban,12,7.562980271969265
25072,22.0,4.6,Windy,Jam,2,Snack,scooter,1.0,No,Metropolitian,26,12.243495934522482
45408,24.0,4.5,Cloudy,Low,1,Drinks,motorcycle,0.0,No,,16,1.5203488901901792
15617,28.0,4.6,Stormy,Medium,2,Buffet,electric_scooter,1.0,No,Metropolitian,19,14.021726512940825
10089,27.0,5.0,Stormy,Jam,1,Meal,motorcycle,1.0,No,,23,20.887331234684485
14712,23.0,4.6,Sandstorms,Jam,2,Buffet,motorcycle,1.0,No,Metropolitian,19,13.407238587912502
25253,22.0,4.5,Sandstorms,Medium,0,Meal,motorcycle,1.0,No,Metropolitian,25,12.435806040948572
24679,36.0,5.0,Sandstorms,Low,2,Meal,scooter,1.0,No,Urban,22,4.610133887061302
7724,35.0,5.0,Sandstorms,Jam,1,Meal,motorcycle,0.0,No,Metropolitian,34,7.772466272092122
1411,27.0,4.6,Fog,Low,0,Snack,motorcycle,1.0,No,Metropolitian,19,4.656811824475263
14736,37.0,4.8,Stormy,Medium,2,Drinks,motorcycle,1.0,No,Metropolitian,30,7.646104748376906
4639,33.0,4.7,Cloudy,Medium,0,Drinks,motorcycle,1.0,No,Metropolitian,29,9.088005113399266
29786,33.0,4.9,Sunny,Jam,0,Buffet,motorcycle,1.0,No,Metropolitian,26,12.41711599871314
29314,30.0,5.0,Sunny,Jam,2,Buffet,scooter,1.0,No,Metropolitian,20,7.5467812205384925
19384,22.0,4.9,Cloudy,Medium,0,Meal,motorcycle,1.0,No,Metropolitian,30,10.880650831335046
15107,,,,,3,Meal,electric_scooter,1.0,No,Metropolitian,33,9.326872528792316
43332,30.0,4.1,Sandstorms,Low,0,Drinks,motorcycle,0.0,No,Metropolitian,24,1.5203447251019993
43139,36.0,4.9,Fog,Medium,1,Meal,motorcycle,1.0,No,Metropolitian,18,4.530125283634556
18326,33.0,4.8,Sunny,Low,1,Meal,scooter,1.0,No,Metropolitian,13,7.562069972217765
4526,30.0,4.8,Windy,Jam,2,Buffet,motorcycle,1.0,No,Urban,26,9.087937067701246
45247,22.0,4.9,Sunny,Jam,2,Drinks,electric_scooter,,No,Metropolitian,24,20.178916924752546
34931,34.0,4.7,Stormy,Low,0,Snack,motorcycle,0.0,No,Metropolitian,21,10.709308833427755
22896,31.0,4.6,Sandstorms,High,0,Meal,motorcycle,1.0,No,Metropolitian,36,1.5126000863988953
32892,35.0,4.4,Fog,Medium,2,Snack,scooter,0.0,No,Metropolitian,37,10.594458829956004
19357,33.0,4.7,Cloudy,Medium,0,Drinks,motorcycle,1.0,No,Metropolitian,41,12.58026782216666
13438,,,Sandstorms,High,2,Drinks,scooter,1.0,No,Metropolitian,32,6.210864156013002
44907,32.0,5.0,Cloudy,Medium,0,Drinks,motorcycle,0.0,No,Metropolitian,42,10.906257371374378
14680,33.0,4.6,Sandstorms,Low,1,Drinks,scooter,0.0,No,Urban,20,7.573523734238649
8165,24.0,4.9,Cloudy,Jam,1,Snack,scooter,2.0,No,Metropolitian,37,20.286495439716045
15390,20.0,4.3,Sunny,High,0,Meal,motorcycle,0.0,No,Metropolitian,46,6.127835452793534
19628,35.0,4.8,Sunny,Low,2,Buffet,electric_scooter,0.0,No,Metropolitian,12,9.326827803082512
42694,28.0,4.3,Stormy,Low,0,Meal,motorcycle,1.0,No,Metropolitian,15,1.5439623816123476
25562,26.0,4.7,Cloudy,Medium,0,Drinks,motorcycle,2.0,No,Metropolitian,35,20.180936931742092
11327,23.0,4.9,Cloudy,Jam,1,Buffet,scooter,0.0,No,Metropolitian,26,4.405611015399672
14606,31.0,4.9,Fog,Medium,0,Buffet,motorcycle,0.0,No,Urban,35,12.257021345777924
24157,29.0,4.5,Stormy,Jam,1,Snack,scooter,0.0,No,Urban,19,17.073624954178904
42378,,,Fog,High,1,Snack,motorcycle,1.0,No,Metropolitian,31,1.5367187530179973
7152,39.0,4.6,Sunny,Jam,1,Snack,scooter,0.0,No,Metropolitian,20,7.761422437330777
28209,21.0,4.8,Cloudy,Low,2,Meal,scooter,1.0,No,Metropolitian,18,3.105492717339753
28762,26.0,4.9,Fog,Low,0,Snack,motorcycle,1.0,No,Metropolitian,23,1.5725337265584898
24910,29.0,4.7,Sandstorms,High,1,Drinks,scooter,0.0,,Metropolitian,11,1.529297691866026
18869,34.0,4.5,Stormy,Low,0,Meal,motorcycle,1.0,No,Urban,26,16.384900933440587
24136,30.0,4.6,Sunny,Jam,1,Meal,motorcycle,0.0,No,Metropolitian,17,7.5623179451646205
45284,34.0,4.8,Sunny,Jam,0,Meal,motorcycle,1.0,No,Metropolitian,20,7.763197145384553
